title,link,image,source,category,datetime
Version History is live — here’s how to find it,https://www.theverge.com/podcast/792339/version-history-podcast-hoverboards,https://platform.theverge.com/wp-content/uploads/sites/2/2025/10/Version-History-TileArt.jpg,The Verge,technology,"5 Oct 2025, 12:30"
The best lists to keep — and the best ways to keep them,https://www.theverge.com/tech/791905/best-lists-apps-to-do-shopping-installer,https://platform.theverge.com/wp-content/uploads/sites/2/2025/10/Installer-100.png,The Verge,technology,"5 Oct 2025, 12:00"
This week’s best deal is a ‘kids’ Kindle Paperwhite that’s better than the adult version,https://www.theverge.com/tech/791728/kindle-paperwhite-kids-sonos-era-100-deal-sale,https://platform.theverge.com/wp-content/uploads/sites/2/2025/10/Kindle-Paperwhite-Kids-Deal-Image.png,The Verge,technology,"4 Oct 2025, 17:00"
Ecovacs’ Deebot X8 and X9 Pro Omni robovacs have hit a new low price,https://www.theverge.com/tech/791106/ecovacs-deebot-x8-x9-pro-omni-robot-vacuum-prime-day-deal-sale,https://platform.theverge.com/wp-content/uploads/sites/2/2025/04/8A0A2965.jpeg,The Verge,technology,"4 Oct 2025, 14:41"
Instagram wants me to make content — I just want to post a photo,https://www.theverge.com/tech/791595/instagram-uploading-features-content,https://platform.theverge.com/wp-content/uploads/sites/2/2025/10/257997_instagram_content_CVirginia.jpg,The Verge,technology,"4 Oct 2025, 14:00"
Discord customer service data breach leaks user info and scanned photo IDs,https://www.theverge.com/news/792032/discord-customer-service-data-breach-hack,https://platform.theverge.com/wp-content/uploads/sites/2/2025/09/acastro_STK062_03.jpg,The Verge,technology,"3 Oct 2025, 23:52"
Unity discloses a years-old security exploit and urges developers to update their games,https://www.theverge.com/news/791609/unity-security-exploit-developers-update-games,https://platform.theverge.com/wp-content/uploads/sites/2/2025/10/236784_Unity_Stock_V1_CVirginia_0000_A_.png,The Verge,technology,"3 Oct 2025, 19:23"
Google removes ICE-spotting app following Apple’s ICEBlock crackdown,https://www.theverge.com/news/791533/google-apple-ice-tracking-app-store-red-dot-iceblock,https://platform.theverge.com/wp-content/uploads/sites/2/2025/10/red-dot-app.png,The Verge,technology,"3 Oct 2025, 19:09"
Amazon’s Fire TV Stick 4K is getting a new name soon,https://www.theverge.com/news/791504/amazons-fire-tv-stick-4k-is-getting-a-new-name-soon,https://platform.theverge.com/wp-content/uploads/sites/2/2025/06/Amazon-Fire-TV-Stick-4K-Lifestyle-Press-Image.jpg,The Verge,technology,"3 Oct 2025, 18:44"
Trump rolled YouTube into paying for his ballroom,https://www.theverge.com/policy/791355/trump-youtube-google-antitrust-ballroom,https://platform.theverge.com/wp-content/uploads/sites/2/2025/10/gettyimages-2181754523.jpg,The Verge,technology,"3 Oct 2025, 16:52"
"Sony shrinks PS5 Slim storage in the US, too",https://www.theverge.com/news/791380/sony-ps5-slim-reduced-storage-2100-model-series,https://platform.theverge.com/wp-content/uploads/sites/2/2025/10/sony-ps5-825gb.png,The Verge,technology,"3 Oct 2025, 15:39"
Microsoft is about to launch free Xbox Cloud Gaming with ads,https://www.theverge.com/report/791213/xbox-cloud-gaming-free-ad-supported-version,https://platform.theverge.com/wp-content/uploads/sites/2/chorus/uploads/chorus_asset/file/25832862/STK048_XBOX_2_A.jpg,The Verge,technology,"3 Oct 2025, 15:18"
A bundle with Amazon’s biggest smart display and a stand just got its biggest discount,https://www.theverge.com/tech/791283/amazon-echo-show-21-jbl-tour-3-earbuds-deal-sale,https://platform.theverge.com/wp-content/uploads/sites/2/2025/10/Amazon-Echo-Show-21-Deal.png,The Verge,technology,"3 Oct 2025, 15:15"
The quest for every Gap store playlist ever,https://www.theverge.com/report/790802/gap-playlists-michael-bise-music-streaming-nostalgia,https://platform.theverge.com/wp-content/uploads/sites/2/2025/10/257992_gap_store_playlist_CVirginia.jpg,The Verge,technology,"3 Oct 2025, 15:06"
The real price of a free TV,https://www.theverge.com/podcast/791253/telly-free-tv-ads-amazon-echo-vergecast,https://platform.theverge.com/wp-content/uploads/sites/2/2025/10/VST_1003_Site.jpg,The Verge,technology,"3 Oct 2025, 13:33"
"I tried Amazon and Google’s new smart home gadgets, ask me anything!",https://www.theverge.com/tech/790817/amazon-alexa-show-google-gemini-nest-hands-on-ama,https://platform.theverge.com/wp-content/uploads/sites/2/2025/10/257993_Jen_Tuohy_AMA_CVirginia.jpg,The Verge,technology,"3 Oct 2025, 13:03"
Japan’s most popular beer is running low after cyberattack,https://www.theverge.com/news/791192/asahi-beer-cyberattack-systems-outage,https://platform.theverge.com/wp-content/uploads/sites/2/2025/10/gettyimages-648902788.jpg,The Verge,technology,"3 Oct 2025, 11:28"
